,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,income_category
17008,-122.29,37.54,41.0,1743.0,349.0,811.0,349.0,4.9464,NEAR OCEAN,4
20111,-120.2,37.8,30.0,1189.0,255.0,446.0,165.0,3.4838,INLAND,3
8199,-118.14,33.79,23.0,2573.0,688.0,1478.0,604.0,3.4833,NEAR OCEAN,3
19553,-121.0,37.62,28.0,1153.0,420.0,1043.0,357.0,1.0801,INLAND,1
8429,-118.36,33.92,46.0,1231.0,231.0,793.0,256.0,4.1023,<1H OCEAN,3
17680,-121.84,37.32,16.0,1866.0,364.0,1835.0,412.0,5.3363,<1H OCEAN,4
15753,-122.45,37.77,52.0,2296.0,509.0,1039.0,472.0,4.1417,NEAR BAY,3
11868,-121.09,40.3,15.0,1717.0,336.0,501.0,206.0,3.6477,INLAND,3
4839,-118.29,34.03,42.0,907.0,378.0,822.0,288.0,1.2875,<1H OCEAN,1
17327,-120.08,34.62,11.0,3478.0,588.0,1693.0,582.0,4.6554,NEAR OCEAN,4
4119,-118.2,34.14,52.0,3800.0,646.0,1842.0,620.0,5.5524,<1H OCEAN,4
5479,-118.45,34.0,48.0,1923.0,408.0,1142.0,433.0,4.575,<1H OCEAN,4
1168,-121.57,39.5,31.0,2023.0,469.0,1073.0,436.0,1.5714,INLAND,2
9490,-123.21,39.2,17.0,3145.0,693.0,1560.0,647.0,2.2926,<1H OCEAN,2
10288,-117.84,33.89,19.0,3544.0,542.0,1787.0,560.0,6.7837,<1H OCEAN,5
14377,-117.25,32.73,37.0,2224.0,331.0,821.0,341.0,6.3331,NEAR OCEAN,5
10675,-117.77,33.54,28.0,3404.0,497.0,1134.0,466.0,7.2217,<1H OCEAN,5
7772,-118.1,33.91,35.0,1592.0,335.0,1238.0,320.0,4.9732,<1H OCEAN,4
5657,-118.31,33.73,52.0,1665.0,280.0,656.0,282.0,5.249,NEAR OCEAN,4
17920,-121.99,37.35,16.0,3249.0,947.0,1637.0,841.0,4.5427,<1H OCEAN,4
5877,-118.35,34.16,42.0,2267.0,478.0,1083.0,458.0,3.2015,<1H OCEAN,3
17730,-121.76,37.33,5.0,4153.0,719.0,2435.0,697.0,5.6306,<1H OCEAN,4
11992,-117.51,33.97,35.0,352.0,62.0,184.0,57.0,3.6691,INLAND,3
16214,-121.33,37.96,42.0,1619.0,340.0,906.0,339.0,2.5488,INLAND,2
4207,-118.25,34.11,39.0,1415.0,369.0,1467.0,351.0,3.015,<1H OCEAN,3
6873,-118.1,34.08,21.0,1349.0,352.0,1188.0,330.0,2.5,<1H OCEAN,2
6800,-118.12,34.09,25.0,4870.0,1371.0,3518.0,1296.0,3.2307,<1H OCEAN,3
9471,-123.85,39.42,11.0,1804.0,506.0,895.0,451.0,1.7574,<1H OCEAN,2
19807,-118.96,36.66,18.0,1302.0,424.0,320.0,133.0,3.1964,INLAND,3
16755,-122.46,37.71,39.0,2076.0,482.0,1738.0,445.0,3.1958,NEAR OCEAN,3
9997,-121.05,39.11,7.0,2767.0,423.0,1143.0,382.0,3.6333,INLAND,3
8226,-118.2,33.78,48.0,1766.0,497.0,1908.0,466.0,1.9872,NEAR OCEAN,2
2763,-115.88,32.93,15.0,208.0,49.0,51.0,20.0,4.0208,INLAND,3
11636,-118.03,33.83,25.0,3030.0,532.0,1668.0,509.0,4.625,<1H OCEAN,4
6786,-118.14,34.1,27.0,4073.0,1013.0,2411.0,933.0,3.108,<1H OCEAN,3
7871,-118.14,33.89,37.0,1159.0,238.0,740.0,243.0,4.9107,<1H OCEAN,4
6911,-117.95,33.97,33.0,1113.0,145.0,424.0,137.0,8.3474,<1H OCEAN,5
10024,-121.24,39.22,14.0,983.0,163.0,399.0,161.0,2.2917,INLAND,2
4771,-118.35,34.04,45.0,1839.0,459.0,1312.0,460.0,2.5625,<1H OCEAN,2
10325,-117.8,33.79,13.0,2021.0,362.0,1081.0,341.0,4.3269,<1H OCEAN,3
2060,-119.74,36.65,19.0,2546.0,463.0,1257.0,418.0,2.9013,INLAND,2
17935,-121.95,37.35,42.0,1421.0,330.0,659.0,303.0,3.3333,<1H OCEAN,3
14618,-117.15,32.8,23.0,2395.0,476.0,2284.0,488.0,3.7292,NEAR OCEAN,3
10894,-117.86,33.72,37.0,1429.0,428.0,2089.0,399.0,3.413,<1H OCEAN,3
10521,-117.69,33.55,3.0,1618.0,266.0,710.0,246.0,6.0743,<1H OCEAN,5
20557,-121.78,38.68,43.0,3766.0,847.0,1855.0,817.0,2.3468,INLAND,2
9931,-122.3,38.29,20.0,1789.0,434.0,1113.0,398.0,2.4728,NEAR BAY,2
5060,-118.35,34.0,28.0,3085.0,621.0,1162.0,558.0,3.25,<1H OCEAN,3
4695,-118.37,34.07,44.0,2703.0,663.0,1045.0,619.0,3.201,<1H OCEAN,3
15993,-122.47,37.76,34.0,2807.0,487.0,1152.0,445.0,5.1893,NEAR BAY,4
16816,-122.45,37.64,19.0,6326.0,1025.0,3444.0,984.0,6.2498,NEAR OCEAN,5
2580,-124.02,40.8,22.0,2588.0,435.0,1198.0,442.0,3.9792,<1H OCEAN,3
10919,-117.86,33.74,34.0,2254.0,630.0,2984.0,625.0,2.5,<1H OCEAN,2
2250,-119.8,36.8,43.0,1951.0,288.0,725.0,308.0,6.3359,INLAND,5
15532,-117.14,33.18,11.0,5546.0,974.0,2300.0,970.0,3.7109,<1H OCEAN,3
337,-122.17,37.74,46.0,769.0,183.0,693.0,178.0,2.25,NEAR BAY,2
10847,-117.91,33.67,32.0,3058.0,562.0,1475.0,569.0,4.4625,<1H OCEAN,3
9284,-122.55,38.07,5.0,1495.0,235.0,555.0,201.0,6.7232,NEAR BAY,5
8167,-118.13,33.8,41.0,1509.0,325.0,821.0,314.0,4.0893,<1H OCEAN,3
17255,-119.71,34.42,50.0,840.0,279.0,488.0,270.0,2.2097,<1H OCEAN,2
17857,-121.88,37.44,14.0,2073.0,343.0,1107.0,330.0,6.7093,<1H OCEAN,5
8581,-118.41,33.89,31.0,702.0,161.0,236.0,144.0,5.0497,<1H OCEAN,4
10515,-117.7,33.53,5.0,6698.0,1254.0,2834.0,1139.0,5.9088,<1H OCEAN,4
6400,-118.05,34.13,23.0,3264.0,729.0,1475.0,668.0,3.735,INLAND,3
1190,-121.46,39.4,17.0,3659.0,735.0,1970.0,667.0,2.425,INLAND,2
989,-121.89,37.69,4.0,6159.0,1510.0,2649.0,1241.0,3.62,<1H OCEAN,3
8658,-118.39,33.85,24.0,4373.0,871.0,1830.0,824.0,5.7128,<1H OCEAN,4
17540,-121.88,37.35,43.0,1086.0,219.0,715.0,226.0,4.2381,<1H OCEAN,3
9503,-123.39,38.99,28.0,1416.0,294.0,812.0,258.0,3.4063,<1H OCEAN,3
16746,-122.46,37.7,37.0,1028.0,275.0,904.0,261.0,3.5035,NEAR OCEAN,3
7226,-118.16,34.02,42.0,814.0,216.0,773.0,208.0,2.5313,<1H OCEAN,2
9445,-119.9,37.49,13.0,2230.0,443.0,920.0,361.0,3.0,INLAND,2
4485,-118.2,34.06,40.0,1181.0,335.0,1441.0,337.0,2.1136,<1H OCEAN,2
5010,-118.32,34.01,44.0,4032.0,913.0,1622.0,848.0,2.4934,<1H OCEAN,2
17978,-121.97,37.3,25.0,5463.0,1351.0,2758.0,1310.0,3.0079,<1H OCEAN,3
3413,-118.4,34.28,16.0,6573.0,1480.0,6161.0,1473.0,3.3304,<1H OCEAN,3
16721,-120.69,35.49,16.0,2666.0,450.0,1203.0,429.0,4.1375,<1H OCEAN,3
13576,-117.3,34.14,37.0,1454.0,261.0,761.0,248.0,2.3438,INLAND,2
7162,-118.17,34.04,38.0,385.0,102.0,402.0,95.0,1.625,<1H OCEAN,2
16897,-122.37,37.58,43.0,2506.0,432.0,967.0,428.0,4.7404,NEAR OCEAN,4
4868,-118.28,34.05,44.0,1273.0,474.0,1754.0,460.0,1.6037,<1H OCEAN,2
9104,-117.98,34.53,13.0,2815.0,535.0,1492.0,491.0,4.0945,INLAND,3
12935,-121.28,38.66,17.0,7741.0,1401.0,3153.0,1331.0,3.7869,INLAND,3
17824,-121.89,37.39,2.0,1136.0,365.0,535.0,257.0,4.375,<1H OCEAN,3
17532,-121.89,37.34,20.0,1106.0,494.0,851.0,448.0,0.8894,<1H OCEAN,1
10604,-117.81,33.67,9.0,2435.0,396.0,1194.0,385.0,7.2025,<1H OCEAN,5
273,-122.2,37.78,45.0,1766.0,332.0,869.0,327.0,4.5893,NEAR BAY,4
19508,-121.05,37.62,37.0,1043.0,196.0,555.0,197.0,3.4125,INLAND,3
3115,-117.66,35.6,14.0,1740.0,391.0,850.0,317.0,2.5812,INLAND,2
5609,-118.27,33.79,31.0,1535.0,369.0,1291.0,340.0,2.9375,<1H OCEAN,2
19177,-122.67,38.43,17.0,2007.0,400.0,895.0,403.0,3.2813,<1H OCEAN,3
5748,-118.27,34.16,15.0,5036.0,1299.0,3164.0,1175.0,2.9148,<1H OCEAN,2
20394,-118.87,34.22,14.0,3108.0,451.0,1566.0,434.0,6.2423,<1H OCEAN,5
13823,-117.2,34.5,10.0,4201.0,850.0,2378.0,808.0,2.1781,INLAND,2
8707,-118.34,33.83,35.0,1818.0,353.0,853.0,321.0,5.8972,<1H OCEAN,4
19126,-122.69,38.27,32.0,2344.0,434.0,1066.0,384.0,4.0313,<1H OCEAN,3
17038,-122.25,37.49,40.0,2709.0,521.0,1156.0,510.0,4.6366,NEAR OCEAN,4
15392,-116.99,33.2,17.0,2980.0,539.0,1531.0,505.0,3.1553,<1H OCEAN,3
3396,-118.31,34.26,38.0,2264.0,460.0,1124.0,388.0,4.2685,<1H OCEAN,3
3408,-118.31,34.26,37.0,1444.0,246.0,624.0,239.0,5.76,<1H OCEAN,4
17731,-121.81,37.3,14.0,1870.0,348.0,1214.0,347.0,4.9769,<1H OCEAN,4
3512,-118.47,34.26,35.0,1898.0,344.0,1123.0,347.0,5.5792,<1H OCEAN,4
15054,-116.83,32.81,18.0,2367.0,402.0,1021.0,395.0,4.8125,<1H OCEAN,4
19651,-120.87,37.5,7.0,4966.0,985.0,2431.0,904.0,3.1042,INLAND,3
18540,-122.0,36.93,51.0,1616.0,374.0,608.0,302.0,3.1932,NEAR OCEAN,3
2364,-119.59,36.72,18.0,1284.0,193.0,621.0,190.0,4.5375,INLAND,4
473,-122.29,37.86,50.0,2485.0,607.0,1354.0,563.0,1.9483,NEAR BAY,2
9008,-118.6,34.08,40.0,866.0,181.0,399.0,176.0,6.91,<1H OCEAN,5
15515,-117.1,33.17,12.0,2465.0,412.0,1226.0,428.0,5.4819,<1H OCEAN,4
12036,-117.47,33.92,18.0,3869.0,773.0,2500.0,726.0,3.6583,INLAND,3
7220,-118.16,34.02,41.0,1256.0,391.0,1511.0,381.0,1.7981,<1H OCEAN,2
65,-122.3,37.81,52.0,1010.0,209.0,604.0,187.0,1.1667,NEAR BAY,1
11695,-117.99,33.88,25.0,3401.0,509.0,1503.0,498.0,6.6704,<1H OCEAN,5
10798,-117.93,33.62,33.0,1890.0,416.0,859.0,329.0,4.5658,<1H OCEAN,4
2072,-119.84,36.77,6.0,1853.0,473.0,1397.0,417.0,1.4817,INLAND,1
1673,-122.26,38.03,25.0,2239.0,361.0,928.0,353.0,4.4474,NEAR BAY,3
4520,-118.2,34.04,18.0,796.0,227.0,547.0,218.0,1.0333,<1H OCEAN,1
10855,-117.89,33.68,8.0,5278.0,1575.0,2389.0,1371.0,3.3409,<1H OCEAN,3
3014,-119.15,34.83,6.0,8733.0,1600.0,2006.0,736.0,4.5724,INLAND,4
5045,-118.33,33.97,47.0,1830.0,369.0,922.0,377.0,4.1635,<1H OCEAN,3
13124,-121.29,38.28,11.0,1554.0,260.0,793.0,233.0,4.8073,INLAND,4
18970,-122.01,38.27,17.0,9089.0,1542.0,4758.0,1520.0,4.0619,INLAND,3
11848,-120.74,39.82,9.0,1955.0,398.0,294.0,122.0,3.9583,INLAND,3
10115,-117.93,33.94,30.0,2658.0,382.0,1135.0,392.0,6.0516,<1H OCEAN,5
9007,-118.6,34.09,43.0,2228.0,438.0,960.0,395.0,7.6091,<1H OCEAN,5
18887,-122.24,38.11,52.0,2050.0,492.0,1277.0,463.0,3.0507,NEAR BAY,3
12297,-116.9,33.93,34.0,3183.0,738.0,1820.0,647.0,2.2321,INLAND,2
4987,-118.31,34.0,52.0,1630.0,379.0,1413.0,405.0,1.933,<1H OCEAN,2
19914,-119.29,36.31,34.0,1439.0,253.0,607.0,223.0,3.0972,INLAND,3
16614,-121.12,35.58,16.0,4109.0,798.0,1298.0,626.0,3.4799,NEAR OCEAN,3
10134,-117.91,33.91,32.0,1530.0,301.0,666.0,276.0,4.125,<1H OCEAN,3
16670,-120.52,35.24,5.0,4413.0,804.0,2003.0,725.0,5.0267,<1H OCEAN,4
